objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
-12110,142,89,165.154,84.9069
-5876,146,95,169.384,88.8308
-12160,146,83,168.573,82.7067
-12096,143,81,167.638,84.4214
-3570,145,94,164.514,89.7828
-10137,145,86,169.023,83.9319
-3191,143,96,163.922,91.6607
-16604,145,89,167.573,82.9199
-15385,147,83,169.035,78.3774
-5726,145,92,164.74,82.3223
-12229,147,91,171.446,84.4835
-12452,149,93,169.99,86.6406
-9152,144,89,165.671,82.6056
-6152,147,86,163.518,80.5866
-16999,146,80,171.133,81.7377
-9376,146,88,168.251,82.8188
-13053,147,90,167.252,80.9179
-8141,148,94,168.987,87.6837
-6986,148,91,168.49,87.4925
-3102,139,87,159.144,84.1281
-4349,141,90,159.18,78.5005
-9802,147,90,167.229,90.1512
-7749,143,85,166.059,87.2252
-5665,148,86,167.967,86.1451
-9005,145,80,169.215,85.8839
-11230,146,88,168.646,83.7427
-5240,141,84,163.92,85.3103
-10170,146,90,169.429,83.5626
-9937,144,93,168.425,87.955
-9787,147,89,169.216,83.998
-3709,143,92,161.699,86.3524
-12589,149,91,168.432,80.2272
-8883,145,90,165.704,87.2643
