objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
3238,90,51,69.2813,35.5656
3186,88,47,66.9049,32.1011
3285,84,49,66.9319,33.4705
2802,90,52,69.6687,34.9349
675,82,43,66.5465,31.0961
2861,89,48,69.4975,34.6076
4094,87,48,68.2012,35.6376
2901,92,50,66.4635,32.1982
3506,88,47,67.2452,32.5826
2448,87,39,67.6406,31.1992
4475,90,52,69.3373,37.3804
4307,93,59,67.4895,33.8739
4576,91,53,67.7137,33.7457
4040,87,51,68.5055,34.3183
3026,88,51,69.7518,36.1031
3897,87,52,66.7167,34.5005
3793,89,52,65.3614,31.0871
4263,88,53,68.8779,33.4354
3290,87,49,66.6607,34.4204
2904,89,48,68.8679,35.2292
2111,83,40,65.4815,32.2763
4101,86,51,68.6056,36.4234
3092,89,44,69.3203,32.7848
3560,91,54,67.016,31.5726
2960,92,50,69.989,35.2112
2097,87,37,69.3924,31.2352
2587,89,42,67.6547,31.7307
3636,87,48,68.2162,35.1131
2649,89,44,69.1291,33.4094
2779,86,49,68.7968,33.8889
