objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
2940,156,92,174.841,83.5155
2970,154,84,170.541,77.6296
-4192,156,84,175.699,77.4885
-84,156,96,174.13,87.4444
-1675,154,92,176.388,80.025
616,156,88,176.709,79.8719
4013,153,91,172.252,79.4875
4620,155,92,176.523,81.3784
4430,154,104,170.13,85.3684
6540,155,91,171.815,79.6927
-9654,155,94,176.31,78.8749
2996,156,105,174.797,85.6627
-4226,156,96,176.123,80.004
8472,155,106,172.732,90.1191
-2099,156,90,175.794,80.1922
-465,156,94,178.887,83.7948
5210,155,88,174.891,80.4505
2001,156,92,176.441,81.7968
3867,152,85,170.111,73.6056
3559,154,91,172.422,80.8559
9532,153,98,167.244,78.4975
-1819,155,101,175.461,81.3504
8101,156,104,170.708,85.7407
115,155,93,175.742,82.1942
8285,155,103,173.711,88.4014
6381,155,93,172.447,81.6496
2678,152,79,172.161,73.041
4966,152,88,169.531,77.041
-1040,155,81,177.967,79.2853
2288,155,82,176.576,77.8709
7391,153,86,168.986,79.986
6094,155,101,170.24,83.1231
380,156,99,174.965,85.8979
7982,150,90,169.752,80.6867
5513,155,96,173.171,80.976
9043,154,100,173.419,85.1451
7637,154,88,171.032,84.1251
8453,152,99,166.673,82.8018
1340,156,86,172.131,77.8128
5030,154,89,172.566,80.0861
-1411,156,91,175.614,83.8448
1170,156,91,174.997,76.8498
6120,153,88,171.186,76.4344
8670,153,93,171.591,84.4274
7504,154,89,173.116,80.6707
10423,152,95,167.959,84.8649
8220,153,101,168.597,80.3273
4368,155,84,172.423,81.5836
72,155,89,175.586,81.6767
1131,155,88,177.371,82.038
2591,156,84,175.419,82.2693
6234,153,94,168.536,78.6346
-1266,152,91,171.036,74.4555
6151,156,99,177.074,86.6016
5742,155,91,172.18,81.6126
1058,156,90,175.536,81.1131
2200,156,101,173.78,87.956
4583,151,84,167.303,77.6336
9326,150,90,168.976,81.7928
4451,155,93,173.314,80.002
4670,153,87,173.063,78.5816
591,156,104,174.044,84.7267
6448,152,90,168.694,79.9099
9150,151,94,171.288,85.8939
1201,155,85,176.21,77.959
7829,155,93,173.469,80.2893
3229,155,92,175.356,82.7918
11954,153,91,167.596,81.4404
5968,155,94,172.067,82.2723
